City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
508,Canete,-37.8,-73.4,64.06,36,0,12.8,CL,2021-01-12 18:21:09
509,Mae Sai,20.4335,99.8762,53.6,76,90,5.75,TH,2021-01-12 18:21:09
510,Nisia Floresta,-6.0911,-35.2086,80.6,83,75,8.05,BR,2021-01-12 18:21:09
511,Mweka,-4.85,21.5667,74.61,79,87,2.51,CD,2021-01-12 18:21:10
512,Aksarka,66.5606,67.7975,-7.11,86,0,4.5,RU,2021-01-12 18:21:10
513,Krasnovishersk,60.4078,57.082,-8.36,85,100,2.19,RU,2021-01-12 18:21:10
514,Kibala,9.1104,18.3463,80.6,32,0,1.66,TD,2021-01-12 18:21:10
515,Zhezkazgan,47.8043,67.7144,-0.81,92,21,8.63,KZ,2021-01-12 18:21:11
516,Morwell,-38.2333,146.4,55.99,89,5,3.76,AU,2021-01-12 18:21:11
517,Sorland,67.667,12.6934,35.6,60,75,31.07,NO,2021-01-12 18:21:11
518,Moberly,39.4184,-92.4382,44.01,56,1,11.5,US,2021-01-12 18:21:11
519,Kristiinankaupunki,62.2743,21.376,27.72,96,100,23.13,FI,2021-01-12 18:21:12
520,Tulum,20.2167,-87.4667,78.8,78,75,13.8,MX,2021-01-12 18:20:53
521,Mragowo,53.8644,21.3051,30.2,100,90,9.22,PL,2021-01-12 18:21:12
522,Sibay,52.7181,58.6658,-15.16,89,85,3.24,RU,2021-01-12 18:21:12
523,Macenta,8.5435,-9.471,85.62,29,45,0.49,GN,2021-01-12 18:21:12
524,Sterling,39.0062,-77.4286,46.4,42,20,4.61,US,2021-01-12 18:21:13
525,Mayo,38.8876,-76.5119,46.0,53,1,5.75,US,2021-01-12 18:21:13
526,Belaya Gora,68.5333,146.4167,-42.39,81,45,2.21,RU,2021-01-12 18:21:13
527,Hobyo,5.3505,48.5268,76.03,74,3,21.72,SO,2021-01-12 18:21:13
528,Havre-Saint-Pierre,50.2334,-63.5986,17.6,79,90,2.3,CA,2021-01-12 18:21:14
529,Yakeshi,49.2833,120.7333,-6.88,91,100,4.81,CN,2021-01-12 18:21:14
530,Praia Da Vitoria,38.7333,-27.0667,59.0,94,75,19.57,PT,2021-01-12 18:21:14
531,Buchanan,5.8808,-10.0467,84.2,74,75,4.61,LR,2021-01-12 18:19:16
532,Sharjah,25.3573,55.4033,68.0,44,0,3.44,AE,2021-01-12 18:21:14
533,Puerto Colombia,10.9878,-74.9547,87.8,58,0,13.8,CO,2021-01-12 18:21:15
534,Camacha,33.0833,-16.3333,59.0,58,40,8.05,PT,2021-01-12 18:21:15
535,Dunedin,-45.8742,170.5036,56.77,91,12,4.21,NZ,2021-01-12 18:18:46
536,Bismarck,46.8083,-100.7837,44.6,49,1,12.66,US,2021-01-12 18:21:14
537,Thinadhoo,0.5333,72.9333,82.17,76,100,18.32,MV,2021-01-12 18:21:16
538,Laurel,39.0993,-76.8483,46.4,53,1,3.44,US,2021-01-12 18:21:16
539,Takayama,36.1333,137.25,37.99,83,92,1.01,JP,2021-01-12 18:21:16
540,Katoro,-3.0203,31.8958,66.56,86,82,1.41,TZ,2021-01-12 18:21:16
